Title,Series,Creator,ISBN,Language,Content access levels,Subscription
"The $5 Takeout Cookbook: Good, Cheap Food for When You Want to Eat In",,"Parkinson, Rhonda Lauret",9781440526022,English,Young adult,No
The $7 a Meal Quick and Easy Cookbook: 301 Delicious Meals You Can Make in 30 Minutes Or Less,,"Irby, Chef Susan",9781440513701,English,Young adult,No
(Don't) Call Me Crazy: 33 Voices Start the Conversation about Mental Health,,"Jensen, Kelly",9781616208745,English,Young adult,No
¡Aviones! (Planes),Máquinas Ocupadas grandes,"Reasoner, Charles",9781681916057,"English, Spanish; Castilian",Juvenile,No
¡Barcos! (Boats),Máquinas Ocupadas grandes,"Reasoner, Charles",9781612367811,"English, Spanish; Castilian",Juvenile,No
¡Barcos! ¡Barcos! ¡Barcos! (Boats! Boats! Boats!),Mi Primera Biblioteca de Descubrimiento,"Cleland, Joann",9781615908295,"English, Spanish; Castilian",Juvenile,No
¡Camiones! (Trucks),Máquinas Ocupadas grandes,"Reasoner, Charles",9781612367866,"English, Spanish; Castilian",Juvenile,No
¡Carros! (Cars),Máquinas Ocupadas grandes,"Reasoner, Charles",9781612367828,"English, Spanish; Castilian",Juvenile,No
¡Celebremos el Mes de la Herencia Hispana! (Celebrating Hispanic Heritage Month!),¡Que viva! Celebraciones latinas (Viva! Latino Celebrations),"Orgullo, Marisa",9781538342350,Spanish; Castilian,Juvenile,Yes
¡El invierno es divertido! (Winter Is Fun!),Season Fun,"Moon, Walt K.",9781512429596,Spanish; Castilian,Juvenile,Yes
¡El otoño es divertido! (Fall Is Fun!),Season Fun,"Moon, Walt K.",9781512429534,Spanish; Castilian,Juvenile,Yes
¡El verano es divertido! (Summer Is Fun!),Season Fun,"Moon, Walt K.",9781512429572,Spanish; Castilian,Juvenile,Yes
¡Es Día de Acción de Gracias! (It's Thanksgiving!),It's a Holiday!,"Kenan, Tessa",9781541507951,Spanish; Castilian,Juvenile,Yes
¡Es Diwali! (It's Diwali!),It's a Holiday!,"Sebra, Richard",9781541507883,Spanish; Castilian,Juvenile,Yes
¡Es el Año Nuevo Chino! (It's Chinese New Year!),It's a Holiday!,"Sebra, Richard",9781541507852,Spanish; Castilian,Juvenile,Yes
¡Es el Día de Año Nuevo! (It's New Year's Day!),It's a Holiday!,"Sebra, Richard",9781541507920,Spanish; Castilian,Juvenile,Yes
¡Es el Día de San Patricio! (It's St. Patrick's Day!),It's a Holiday!,"Sebra, Richard",9781541507944,Spanish; Castilian,Juvenile,Yes
¡Es el Día de San Valentín! (It's Valentine's Day!),It's a Holiday!,"Sebra, Richard",9781541507968,Spanish; Castilian,Juvenile,Yes
¡Es Hanukkah! (It's Hanukkah!),It's a Holiday!,"Sebra, Richard",9781541507913,Spanish; Castilian,Juvenile,Yes
¡Es Navidad! (It's Christmas!),It's a Holiday!,"Sebra, Richard",9781541507869,Spanish; Castilian,Juvenile,Yes
